date,node,implementation,scenario,n,mean_us,min_us,p50_us,p90_us,p99_us,max_us
2026-09-24,vera-r01-19,native,first_64C,30,8365.230,2892.635,9294.416,11073.591,11155.095,11800.808
2026-09-24,vera-r01-19,native,first_32C,30,1718.377,1531.130,1679.310,1820.037,1849.220,2732.965
2026-09-24,vera-r01-19,native,first_32S,30,1819.385,1454.745,1696.024,2311.759,2354.674,3247.461
2026-09-24,vera-r01-19,native,64C_to_32C,30,74.494,62.354,73.216,84.398,86.390,90.677
2026-09-24,vera-r01-19,native,32C_to_64C,30,5376.839,1782.249,3615.737,9965.469,9995.214,10037.658
2026-09-24,vera-r01-19,native,1C_to_64C,30,9117.705,3179.848,11303.498,11673.216,11838.656,12150.066
2026-09-24,vera-r01-19,native,32C_to_32S,30,62.304,48.694,52.720,62.514,161.574,198.630
2026-09-24,vera-r01-19,native,32S_to_32C,30,61.374,50.707,59.299,65.990,79.510,118.329
2026-09-24,vera-r01-19,hams,first_64C,30,8312.211,2970.373,8683.059,11329.668,12056.545,17198.975
2026-09-24,vera-r01-19,hams,first_32C,30,1744.203,1463.869,1597.996,2124.186,2521.986,3458.039
2026-09-24,vera-r01-19,hams,first_32S,30,1954.322,1504.430,1728.820,2466.722,3272.579,3560.974
2026-09-24,vera-r01-19,hams,64C_to_32C,30,86.219,70.046,78.243,82.756,133.832,306.973
2026-09-24,vera-r01-19,hams,32C_to_64C,30,5641.274,1749.631,4551.464,9915.093,9933.381,9964.879
2026-09-24,vera-r01-19,hams,1C_to_64C,30,9191.746,3048.881,11109.015,11387.795,12025.108,12204.028
2026-09-24,vera-r01-19,hams,32C_to_32S,30,335.234,45.278,54.242,69.936,385.111,8121.726
2026-09-24,vera-r01-19,hams,32S_to_32C,30,58.918,55.454,58.358,60.772,65.940,71.989
