date,node,order,run,scenario,n,native_p50_us,control_p50_us,paired_delta_us
2026-09-24,vera-r01-19,normal,1,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,normal,1,64C_to_32C,3000,49.205,49.404,0.199
2026-09-24,vera-r01-19,normal,1,32C_to_64C,3000,119.551,119.490,-0.061
2026-09-24,vera-r01-19,normal,1,32C_to_32S,3000,44.727,43.666,-1.061
2026-09-24,vera-r01-19,normal,1,32S_to_32C,3000,43.035,43.365,0.330
2026-09-24,vera-r01-19,normal,2,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,normal,2,64C_to_32C,3000,48.253,48.413,0.160
2026-09-24,vera-r01-19,normal,2,32C_to_64C,3000,120.973,122.445,1.472
2026-09-24,vera-r01-19,normal,2,32C_to_32S,3000,44.847,43.787,-1.060
2026-09-24,vera-r01-19,normal,2,32S_to_32C,3000,43.496,44.137,0.641
2026-09-24,vera-r01-19,normal,3,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,normal,3,64C_to_32C,3000,49.805,48.923,-0.882
2026-09-24,vera-r01-19,normal,3,32C_to_64C,3000,122.084,121.714,-0.370
2026-09-24,vera-r01-19,normal,3,32C_to_32S,3000,44.598,43.456,-1.142
2026-09-24,vera-r01-19,normal,3,32S_to_32C,3000,43.195,43.766,0.571
2026-09-24,vera-r01-19,reverse,1,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,reverse,1,64C_to_32C,3000,49.775,49.495,-0.280
2026-09-24,vera-r01-19,reverse,1,32C_to_64C,3000,121.744,122.254,0.510
2026-09-24,vera-r01-19,reverse,1,32C_to_32S,3000,43.336,45.248,1.912
2026-09-24,vera-r01-19,reverse,1,32S_to_32C,3000,44.036,43.746,-0.290
2026-09-24,vera-r01-19,reverse,2,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,reverse,2,64C_to_32C,3000,48.423,49.985,1.562
2026-09-24,vera-r01-19,reverse,2,32C_to_64C,3000,120.161,120.141,-0.020
2026-09-24,vera-r01-19,reverse,2,32C_to_32S,3000,43.556,44.948,1.392
2026-09-24,vera-r01-19,reverse,2,32S_to_32C,3000,43.676,43.465,-0.211
2026-09-24,vera-r01-19,reverse,3,cache_hit,100x10000,0.001,0.063,0.062
2026-09-24,vera-r01-19,reverse,3,64C_to_32C,3000,47.512,47.662,0.150
2026-09-24,vera-r01-19,reverse,3,32C_to_64C,3000,122.625,122.305,-0.320
2026-09-24,vera-r01-19,reverse,3,32C_to_32S,3000,43.286,44.358,1.072
2026-09-24,vera-r01-19,reverse,3,32S_to_32C,3000,43.676,43.195,-0.481
