date,node,order,run,scenario,n,native_p50_us,control_p50_us,paired_delta_us
2026-09-24,vera-r08-01,normal,1,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,normal,1,64C_to_32C,3000,44.697,44.952,0.255
2026-09-24,vera-r08-01,normal,1,32C_to_64C,3000,85.738,86.189,0.451
2026-09-24,vera-r08-01,normal,1,32C_to_32S,3000,25.117,25.067,-0.050
2026-09-24,vera-r08-01,normal,1,32S_to_32C,3000,25.096,25.174,0.078
2026-09-24,vera-r08-01,normal,2,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,normal,2,64C_to_32C,3000,44.009,44.130,0.121
2026-09-24,vera-r08-01,normal,2,32C_to_64C,3000,83.282,83.141,-0.141
2026-09-24,vera-r08-01,normal,2,32C_to_32S,3000,25.184,25.129,-0.055
2026-09-24,vera-r08-01,normal,2,32S_to_32C,3000,24.777,24.968,0.191
2026-09-24,vera-r08-01,normal,3,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,normal,3,64C_to_32C,3000,43.311,43.589,0.278
2026-09-24,vera-r08-01,normal,3,32C_to_64C,3000,89.951,90.049,0.098
2026-09-24,vera-r08-01,normal,3,32C_to_32S,3000,25.106,25.210,0.104
2026-09-24,vera-r08-01,normal,3,32S_to_32C,3000,24.754,24.627,-0.127
2026-09-24,vera-r08-01,reverse,1,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,reverse,1,64C_to_32C,3000,44.461,44.687,0.226
2026-09-24,vera-r08-01,reverse,1,32C_to_64C,3000,85.064,85.454,0.390
2026-09-24,vera-r08-01,reverse,1,32C_to_32S,3000,25.218,25.399,0.181
2026-09-24,vera-r08-01,reverse,1,32S_to_32C,3000,24.942,25.431,0.489
2026-09-24,vera-r08-01,reverse,2,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,reverse,2,64C_to_32C,3000,43.106,43.282,0.176
2026-09-24,vera-r08-01,reverse,2,32C_to_64C,3000,80.196,80.506,0.310
2026-09-24,vera-r08-01,reverse,2,32C_to_32S,3000,25.020,25.270,0.250
2026-09-24,vera-r08-01,reverse,2,32S_to_32C,3000,24.930,25.140,0.210
2026-09-24,vera-r08-01,reverse,3,cache_hit,100x10000,0.001,0.057,0.056
2026-09-24,vera-r08-01,reverse,3,64C_to_32C,3000,45.159,45.566,0.407
2026-09-24,vera-r08-01,reverse,3,32C_to_64C,3000,85.539,85.879,0.340
2026-09-24,vera-r08-01,reverse,3,32C_to_32S,3000,24.957,25.233,0.276
2026-09-24,vera-r08-01,reverse,3,32S_to_32C,3000,24.836,25.082,0.246
