benchmark,level,parallel,region,parent,seconds,percent_total,percent_parent,parent_level,depth
BT,parallel,add:47,add:47,iteration total,0.013307141,2.451316548525618,2.451316548525618,total,0
BT,for,add:47,add:47,add:47,0.013307141,2.451316548525618,100.0,parallel,1
BT,parallel,compute_rhs:45,compute_rhs:45,iteration total,0.107457475,19.794806918351423,19.794806918351423,total,0
BT,for,compute_rhs:45,compute_rhs:53-76 (nowait),compute_rhs:45,0.007899493,1.4551704168357638,7.351273608466978,parallel,1
BT,for,compute_rhs:45,compute_rhs:78,compute_rhs:45,0.016785725,3.0921086258498485,15.620807207688438,parallel,1
BT,for,compute_rhs:45,compute_rhs:96-207 (nowait),compute_rhs:45,0.014575908,2.685036890357361,13.564349990542771,parallel,1
BT,for,compute_rhs:45,compute_rhs:209,compute_rhs:45,0.016490223,3.0376740224498833,15.345812843638845,parallel,1
BT,for,compute_rhs:45,compute_rhs:321,compute_rhs:45,0.025896107,4.770337642885884,24.09893495077937,parallel,1
BT,for,compute_rhs:45,compute_rhs:380-430 (nowait),compute_rhs:45,0.01137983,2.096285415357685,10.590077609770749,parallel,1
BT,for,compute_rhs:45,compute_rhs:432,compute_rhs:45,0.00635877,1.171352894605103,5.917475727025971,parallel,1
BT,for,compute_rhs:45,compute_rhs:447-457 (nowait),compute_rhs:45,0.005260357,0.9690135668700417,4.8952918352120225,parallel,1
BT,parallel,x_solve:72,x_solve:72,iteration total,0.119209548,21.95966344345934,21.95966344345934,total,0
BT,for,x_solve:72,x_solve:72,x_solve:72,0.119209548,21.95966344345934,100.0,parallel,1
BT,parallel,y_solve:71,y_solve:71,iteration total,0.140515145,25.88438044332564,25.88438044332564,total,0
BT,for,y_solve:71,y_solve:71,y_solve:71,0.140515145,25.88438044332564,100.0,parallel,1
BT,parallel,z_solve:71,z_solve:71,iteration total,0.162351944,29.90695048714855,29.90695048714855,total,0
BT,for,z_solve:71,z_solve:71,z_solve:71,0.162351944,29.90695048714855,100.00000000000001,parallel,1
SP,parallel,add:46,add:46,iteration total,0.006742645,3.361765337322526,3.361765337322526,total,0
SP,for,add:46,add:46,add:46,0.006742645,3.361765337322526,100.0,parallel,1
SP,parallel,ninvr:47,ninvr:47,iteration total,0.004580416,2.283715624850114,2.283715624850114,total,0
SP,for,ninvr:47,ninvr:47,ninvr:47,0.004580416,2.283715624850114,100.0,parallel,1
SP,parallel,pinvr:47,pinvr:47,iteration total,0.004267307,2.1276049319389907,2.1276049319389907,total,0
SP,for,pinvr:47,pinvr:47,pinvr:47,0.004267307,2.1276049319389907,100.0,parallel,1
SP,parallel,compute_rhs:45,compute_rhs:45,iteration total,0.079298768,39.53698430731274,39.53698430731274,total,0
SP,for,compute_rhs:45,compute_rhs:53-81 (nowait),compute_rhs:45,0.009518808,4.745911847209568,12.003727472789992,parallel,1
SP,for,compute_rhs:45,compute_rhs:83,compute_rhs:45,0.006285944,3.1340621746437054,7.926912559347706,parallel,1
SP,for,compute_rhs:45,compute_rhs:101-195 (nowait),compute_rhs:45,0.014650503,7.304485577950445,18.475070129715004,parallel,1
SP,for,compute_rhs:45,compute_rhs:197,compute_rhs:45,0.013103404,6.533128967657846,16.52409530498633,parallel,1
SP,for,compute_rhs:45,compute_rhs:297,compute_rhs:45,0.018311177,9.129633863888353,23.091376400702718,parallel,1
SP,for,compute_rhs:45,compute_rhs:345-394 (nowait),compute_rhs:45,0.010584612,5.277303154861046,13.347763486060716,parallel,1
SP,for,compute_rhs:45,compute_rhs:396,compute_rhs:45,0.002585945,1.289307128763638,3.2610153539838094,parallel,1
SP,for,compute_rhs:45,compute_rhs:410-420 (nowait),compute_rhs:45,0.004025032,2.006810837470156,5.075781252995001,parallel,1
SP,parallel,txinvr:47,txinvr:47,iteration total,0.007607743,3.793088129755917,3.793088129755917,total,0
SP,for,txinvr:47,txinvr:47,txinvr:47,0.007607743,3.793088129755917,100.0,parallel,1
SP,parallel,tzetar:48,tzetar:48,iteration total,0.009983587,4.977642559966272,4.977642559966272,total,0
SP,for,tzetar:48,tzetar:48,tzetar:48,0.009983587,4.977642559966272,100.0,parallel,1
SP,parallel,x_solve:50,x_solve:50,iteration total,0.027953147,13.936952138764706,13.936952138764706,total,0
SP,for,x_solve:50,x_solve:50,x_solve:50,0.027953147,13.936952138764706,100.0,parallel,1
SP,parallel,y_solve:50,y_solve:50,iteration total,0.028621441,14.27015188520555,14.27015188520555,total,0
SP,for,y_solve:50,y_solve:50,y_solve:50,0.028621441,14.27015188520555,100.0,parallel,1
SP,parallel,z_solve:54,z_solve:54,iteration total,0.031487252,15.698995326187182,15.698995326187182,total,0
SP,for,z_solve:54,z_solve:54,z_solve:54,0.031487252,15.698995326187182,100.0,parallel,1
LU,parallel,l2norm:60,l2norm:60,iteration total,0.000844134,0.328686272003362,0.328686272003362,total,0
